icm	trans
8.06452	0.9919
8.190528	0.9943
8.316536	0.98
8.442544	0.98828
8.568552	1.00191
8.69456	0.98797
8.820568	0.985
8.946576	0.9856
9.072584	0.9844
9.198592	0.9901
9.3246	0.98238
9.450608	0.98887
9.576616	0.9844
9.702624	0.98172
9.828632	1.00622
9.95464	1.00122
10.080648	0.98817
10.206656	0.9927
10.332664	0.9934
10.458672	0.99629
10.58468	0.9864
10.710688	0.98181
10.836696	0.9917
10.962704	0.9939
11.088712	0.98386
11.21472	0.98532
11.340728	0.98758
11.466736	0.98916
11.592744	0.99384
11.718752	0.9905
11.84476	0.98038
11.970768	0.98162
12.096776	0.99243
12.222784	0.99441
12.348792	0.99151
12.4748	0.98944
12.600808	0.98926
12.726816	0.9868
12.852824	0.9903
12.978832	0.99888
13.10484	0.99398
13.230848	0.98805
13.356856	0.99128
13.482864	0.98943
13.608872	0.98254
13.73488	0.97895
13.860888	0.97954
13.986896	0.97971
14.112904	0.9937
14.238912	0.99873
14.36492	0.98475
14.490928	0.98449
14.616936	0.9907
14.742944	0.99053
14.868952	0.99064
14.99496	0.99592
15.120968	1.00103
15.246976	0.99014
15.372984	0.98538
15.498992	0.99669
15.625	0.99881
15.751008	0.99419
15.877016	0.98938
16.003024	0.99332
16.129032	0.99683
16.25504	0.99638
16.381048	1.00021
16.507056	0.99998
16.633064	0.99394
16.759072	0.98966
16.88508	0.99475
17.011088	0.99987
17.137096	0.99486
17.263104	0.99586
17.389112	0.99684
17.51512	0.99212
17.641128	0.99975
17.767136	1.00451
17.893144	0.99885
18.019152	1.00023
18.14516	1.0062
18.271168	1.00389
18.397176	0.99921
18.523184	1.00264
18.649192	1.00237
18.7752	0.99764
18.901208	0.99665
19.027216	0.99955
19.153224	1.00481
19.279232	1.00313
19.40524	1.00064
19.531248	1.00335
19.657256	1.00155
19.783264	0.99671
19.909272	0.9998
20.03528	1.00138
20.161288	1.00178
20.287296	1.00169
20.413304	1.00128
20.539312	1.0037
20.66532	1.0072
20.791328	1.00417
20.917336	0.99431
21.043344	0.98848
21.169352	0.99282
21.29536	0.99858
21.421368	0.99811
