	Thermal filter C8 P13678/C8 P13661 1.5M 100nm Cu                                								
21.066688	0.99452								
21.117451	0.99476								
21.168214	0.99418								
21.218977	0.99419								
21.26974	0.99424								
21.320503	0.9936								
21.371266	0.99328								
21.422029	0.99358								
21.472792	0.99333								
21.523555	0.99322								
21.574318	0.9934								
21.625081	0.99396								
21.675844	0.99447								
21.726607	0.9938								
21.77737	0.99169								
21.828133	0.99072								
21.878896	0.99255								
21.929659	0.99439								
21.980422	0.99566								
22.031185	0.99592								
22.081948	0.99489								
22.132711	0.99402								
22.183474	0.99438								
22.234237	0.99437								
22.285	0.99422								
22.335763	0.99408								
22.386526	0.99308								
22.437289	0.99198								
22.488052	0.99207								
22.538815	0.99251								
22.589578	0.99298								
22.640341	0.99296								
22.691104	0.99166								
22.741867	0.99167								
22.79263	0.99245								
22.843393	0.9935								
22.894156	0.99444								
22.944919	0.99426								
22.995682	0.99333								
23.046445	0.99328								
23.097208	0.99327								
23.147971	0.99308								
23.198734	0.99269								
23.249497	0.99215								
23.30026	0.99172								
23.351023	0.9916								
23.401786	0.99259								
23.452549	0.99258								
23.503312	0.99236								
23.554075	0.99178								
23.604838	0.99019								
23.655601	0.9897								
23.706364	0.99043								
23.757127	0.99141								
23.80789	0.99278								
23.858653	0.99315								
23.909416	0.99323								
23.960179	0.99403								
24.010942	0.99362								
24.061705	0.99232								
24.112468	0.99256								
24.163231	0.99318								
24.213994	0.99253								
24.264757	0.99281								
24.31552	0.99312								
24.366283	0.99257								
24.417046	0.99176								
24.467809	0.99089								
24.518572	0.99002								
24.569335	0.98997								
24.620098	0.99104								
24.670861	0.99115								
24.721624	0.98988								
24.772387	0.99052								
24.82315	0.9927								
24.873913	0.99352								
24.924676	0.99281								
24.975439	0.99152								
25.026202	0.99128								
25.076965	0.9921								
25.127728	0.99226								
25.178491	0.99255								
25.229254	0.99288								
25.280017	0.99201								
25.33078	0.99077								
25.381543	0.98976								
25.432306	0.98948								
25.483069	0.98962								
25.533832	0.98993								
25.584595	0.98919								
25.635358	0.98795								
25.686121	0.98838								
25.736884	0.9899								
25.787647	0.99094								
25.83841	0.99103								
25.889173	0.99061								
25.939936	0.99033								
25.990699	0.99083								
26.041462	0.99154								
26.092225	0.99192								
26.142988	0.99155								
26.193751	0.99153								
26.244514	0.99106								
26.295277	0.98968								
26.34604	0.98897								
26.396803	0.98893								
26.447566	0.9892								
26.498329	0.98879								
26.549092	0.98829								
26.599855	0.98869								
26.650618	0.9891								
26.701381	0.98965								
26.752144	0.99041								
26.802907	0.99026								
26.85367	0.99049								
26.904433	0.99097								
26.955196	0.99037								
27.005959	0.99004								
27.056722	0.9912								
27.107485	0.99191								
27.158248	0.99134								
27.209011	0.99038								
27.217738	0.9902545								
27.469754	0.9886991								
27.72177	0.9892344								
27.973786	0.992022								
28.225802	0.992527								
28.477818	0.9912342								
28.729834	0.9898505								
28.98185	0.9876184								
29.233866	0.995052								
29.485882	0.9987991								
29.737898	0.9961125								
29.989914	0.995153								
30.24193	0.9921735								
30.493946	0.9911332								
30.745962	0.9900121								
30.997978	0.9889516								
31.249994	0.989093								
31.50201	0.9888607								
31.754026	0.9887698								
32.006042	0.9891132								
32.258058	0.9872245								
32.510074	0.9856994								
32.76209	0.9855479								
33.014106	0.9847803								
33.266122	0.9848409								
33.518138	0.984447								
33.770154	0.9839925								
34.02217	0.9830128								
34.274186	0.9821341								
34.526202	0.9826795								
34.778218	0.98374								
35.030234	0.9814574								
35.28225	0.9785183								
35.534266	0.9799222								
35.786282	0.9810837								
36.038298	0.9822856								
36.290314	0.9796091								
36.54233	0.9752863								
36.794346	0.9779628								
37.046362	0.9788112								
37.298378	0.9778012								
37.550394	0.977983								
37.80241	0.9792859								
38.054426	0.9809322								
38.306442	0.9812352								
38.558458	0.98172								
38.810474	0.9811645								
39.06249	0.9792455								
39.314506	0.9791647								
39.566522	0.9786294								
39.818538	0.9777709								
40.070554	0.9774881								
40.32257	0.9761145								
40.574586	0.9761953								
40.826602	0.9776295								
41.078618	0.9763165								
41.330634	0.9764579								
41.58265	0.9769225								
41.834666	0.9762155								
42.086682	0.9755893								
42.338698	0.9752863								
42.590714	0.9749732								
42.84273	0.9731148								
43.094746	0.9722866								
43.346762	0.9729734								
43.598778	0.9730946								
43.850794	0.9732865								
44.10281	0.9735188								
44.354826	0.9728219								
44.606842	0.9721654								
44.858858	0.9723371								
45.110874	0.9725088								
45.36289	0.971721								
45.614906	0.9715594								
45.866922	0.9728118								
46.118938	0.9730239								
46.370954	0.9730643								
46.62297	0.9725997								
46.874986	0.9705797								
47.127002	0.9702565								
47.379018	0.9707009								
47.631034	0.9706504								
47.88305	0.9712867								
48.135066	0.971115								
48.387082	0.970812								
48.639098	0.9712059								
48.891114	0.9711453								
49.14313	0.9702868								
49.395146	0.9691657								
49.647162	0.9684587								
49.899178	0.9678022								
50.151194	0.9677315								
50.40321	0.9677719								
50.655226	0.9680648								
50.907242	0.9677921								
51.159258	0.9669235								
51.411274	0.9665195								
51.66329	0.9658832								
51.915306	0.9646813								
52.167322	0.9630249								
52.419338	0.9618836								
52.671354	0.9610049								
52.92337	0.9603383								
53.175386	0.9599646								
53.427402	0.9597626								
53.679418	0.959803								
53.931434	0.9598333								
54.18345	0.959197								
54.435466	0.9590758								
54.687482	0.9598434								
54.939498	0.9588435								
55.191514	0.9566518								
55.44353	0.9537834								
55.695546	0.9514907								
55.947562	0.9537935								
56.199578	0.9566619								
56.451594	0.9583385								
56.70361	0.9590051								
56.955626	0.9587021								
57.207642	0.9564195								
57.459658	0.9556418								
57.711674	0.9563589								
57.96369	0.9570154								
58.215706	0.9580557								
58.467722	0.9580052								
58.719738	0.9575406								
58.971754	0.9565508								
59.22377	0.9550055								
59.475786	0.9543187								
59.727802	0.9539652								
59.979818	0.9529047								
60.231834	0.951824								
60.48385	0.9515917								
60.735866	0.9514907								
60.987882	0.9509453								
61.239898	0.9508948								
61.491914	0.9506726								
61.74393	0.9489758								
61.995946	0.947077								
62.247962	0.9451479								
62.499978	0.9451075								
62.751994	0.9463397								
63.00401	0.9464205								
63.256026	0.9463195								
63.508042	0.9466629								
63.760058	0.9467437								
64.012074	0.946168								
64.26409	0.9460266								
64.516106	0.9465619								
64.768122	0.9464811								
65.020138	0.946471								
65.272154	0.9466124								
65.52417	0.9462488								
65.776186	0.9461074								
66.028202	0.9460064								
66.280218	0.9459155								
66.532234	0.9459357								
66.78425	0.9459559								
67.036266	0.9459256								
67.288282	0.9452893								
67.540298	0.9447439								
67.792314	0.9445116								
68.04433	0.944249								
68.296346	0.9436127								
68.548362	0.9426431								
68.800378	0.942229								
69.052394	0.9422593								
69.30441	0.9418957								
69.556426	0.9421987								
69.808442	0.9423199								
70.060458	0.9407948								
70.312474	0.9383708								
70.56449	0.9381183								
70.816506	0.9389364								
71.068522	0.9382698								
71.320538	0.9378153								
71.572554	0.9370477								
71.82457	0.9350176								
72.076586	0.9315937								
72.328602	0.930917								
72.580618	0.9320583								
72.832634	0.9317553								
73.08465	0.9302807								
73.336666	0.9293313								
73.588682	0.9300181								
73.840698	0.929099								
74.092714	0.9277456								
74.34473	0.9297959								
74.596746	0.9313816								
74.848762	0.9304928								
75.100778	0.930109								
75.352794	0.9292404								
75.60481	0.9283314								
75.856826	0.9296242								
76.108842	0.9303918								
76.360858	0.930412								
76.612874	0.9307655								
76.86489	0.9309978								
77.116906	0.9303817								
77.368922	0.9298868								
77.620938	0.9294222								
77.872954	0.9289475								
78.12497	0.9283314								
78.376986	0.9272204								
78.629002	0.9262508								
78.881018	0.9262508								
79.133034	0.926271								
79.38505	0.9245843								
79.637066	0.9224027								
79.889082	0.9215139								
80.141098	0.9215038								
80.393114	0.9207463								
80.64513	0.9197868								
80.897146	0.9197363								
81.149162	0.9202716								
81.401178	0.9197262								
81.653194	0.9174638								
81.90521	0.9158175								
82.157226	0.9159185								
82.409242	0.9157872								
82.661258	0.9152216								
82.913274	0.915363								
83.16529	0.9159185								
83.417306	0.9164033								
83.669322	0.9165548								
83.921338	0.9169285								
84.173354	0.9178577								
84.42537	0.9185445								
84.677386	0.917989								
84.929402	0.9172012								
85.181418	0.9172315								
85.433434	0.9174638								
85.68545	0.9173426								
85.937466	0.9171204								
86.189482	0.9174436								
86.441498	0.9177264								
86.693514	0.917787								
86.94553	0.9181708								
87.197546	0.9184132								
87.449562	0.9170396								
87.701578	0.9141611								
87.953594	0.9113735								
88.20561	0.9087374								
88.457626	0.910212								
88.709642	0.911929								
88.961658	0.9122926								
89.213674	0.9125956								
89.46569	0.9123128								
89.717706	0.9116462								
89.969722	0.9112725								
90.221738	0.9111816								
90.473754	0.9111008								
90.72577	0.9108685								
90.977786	0.9109897								
91.229802	0.911222								
91.481818	0.9115452								
91.733834	0.9113836								
91.98585	0.9097474								
92.237866	0.9076365								
92.489882	0.9050408								
92.741898	0.9053337								
92.993914	0.9071315								
93.24593	0.908091								
93.497946	0.9087879								
93.749962	0.9099898								
94.001978	0.9107877								
94.253994	0.9112624								
94.50601	0.911525								
94.758026	0.9115654								
95.010042	0.911727								
95.262058	0.9117876								
95.514074	0.9112119								
95.76609	0.9104342								
96.018106	0.908899								
96.270122	0.9074749								
96.522138	0.9072325								
96.774154	0.9070608								
97.02617	0.9069194								
97.278186	0.9066871								
97.530202	0.9058892								
97.782218	0.9048893								
98.034234	0.9046065								
98.28625	0.9041419								
98.538266	0.9016977								
98.790282	0.8982435								
99.042298	0.8961528								
99.294314	0.8978294								
99.54633	0.8988293								
99.798346	0.8980819								
100.050362	0.890539216								
100.302378	0.8875								
100.554394	0.876872549								
