# xout	st_am	st_am2	st_am3	st_am4	st_am5	st_am6	st_am7	st_am8	st_am9	st_atm	st_atm2
      4.1637635      0.3432716     -0.0508818     -0.3732962     -0.4334742     -0.3784923     -0.2866822     -0.1973966     -0.3831784      0.2215166     -0.2412114      1.4608674
      4.2470207      0.3535894     -0.0466244     -0.3664463     -0.4261065     -0.3721427     -0.2818092     -0.1939115     -0.3767614      0.2293779     -0.2363532      1.4648836
      4.3302774      0.3639072     -0.0423671     -0.3595965     -0.4187389     -0.3657931     -0.2769361     -0.1904265     -0.3703444      0.2372389     -0.2314949      1.4688998
      4.4135346      0.3742251     -0.0381097     -0.3527467     -0.4113714     -0.3594435     -0.2720630     -0.1869414     -0.3639274      0.2451002     -0.2266366      1.4729160
      4.4967914      0.3845429     -0.0338524     -0.3458968     -0.4040038     -0.3530940     -0.2671899     -0.1834563     -0.3575104      0.2529613     -0.2217783      1.4769323
      4.5800486      0.3948607     -0.0295950     -0.3390470     -0.3966362     -0.3467444     -0.2623169     -0.1799713     -0.3510934      0.2608225     -0.2169200      1.4809484
      4.6633053      0.4051785     -0.0253377     -0.3321972     -0.3892687     -0.3403948     -0.2574438     -0.1764862     -0.3446763      0.2686837     -0.2120618      1.4849646
      4.7465620      0.4154963     -0.0210804     -0.3253474     -0.3819011     -0.3340452     -0.2525708     -0.1730012     -0.3382593      0.2765448     -0.2072035      1.4889809
      4.8298187      0.4258142     -0.0168230     -0.3184976     -0.3745336     -0.3276957     -0.2476977     -0.1695161     -0.3318423      0.2844059     -0.2023452      1.4929971
      4.9130764      0.4361321     -0.0125656     -0.3116477     -0.3671659     -0.3213460     -0.2428246     -0.1660310     -0.3254253      0.2922672     -0.1974869      1.4970133
      4.9963331      0.4464499     -0.0083083     -0.3047979     -0.3597984     -0.3149965     -0.2379515     -0.1625460     -0.3190083      0.3001284     -0.1926286      1.5010295
      5.0795898      0.4567677     -0.0040510     -0.2979481     -0.3524308     -0.3086469     -0.2330785     -0.1590610     -0.3125913      0.3079895     -0.1877703      1.5050457
      5.1628466      0.4670854      0.0002064     -0.2910983     -0.3450633     -0.3022973     -0.2282054     -0.1555759     -0.3061742      0.3158506     -0.1829121      1.5090619
      5.2461038      0.4774033      0.0044637     -0.2842485     -0.3376957     -0.2959477     -0.2233324     -0.1520908     -0.2997572      0.3237118     -0.1780538      1.5130781
      5.3293610      0.4877211      0.0087211     -0.2773986     -0.3303280     -0.2895981     -0.2184593     -0.1486058     -0.2933402      0.3315730     -0.1731955      1.5170944
      5.4126177      0.4980390      0.0129784     -0.2705488     -0.3229605     -0.2832486     -0.2135863     -0.1451207     -0.2869232      0.3394342     -0.1683372      1.5211105
      5.4958749      0.5083569      0.0172358     -0.2636990     -0.3155929     -0.2768990     -0.2087132     -0.1416357     -0.2805061      0.3472954     -0.1634789      1.5251268
      5.5791316      0.5186746      0.0214931     -0.2568491     -0.3082253     -0.2705494     -0.2038401     -0.1381506     -0.2740891      0.3551565     -0.1586206      1.5291430
      5.6623888      0.5289925      0.0257504     -0.2499993     -0.3008578     -0.2641998     -0.1989670     -0.1346655     -0.2676721      0.3630177     -0.1537623      1.5331593
      5.7456450      0.5393102      0.0300078     -0.2431495     -0.2934902     -0.2578503     -0.1940940     -0.1311805     -0.2612551      0.3708788     -0.1489041      1.5371754
      5.8289022      0.5496281      0.0342651     -0.2362997     -0.2861226     -0.2515007     -0.1892209     -0.1276954     -0.2548381      0.3787400     -0.1440458      1.5411916
