icm	trans
2.0305	0.7911
2.0813	0.7900
2.1321	0.7752
2.1828	0.7780
2.2336	0.8281
2.2844	0.7997
2.3351	0.8944
2.3859	0.8578
2.4366	0.8460
2.4874	0.9277
2.5382	0.9232
2.5889	0.9144
2.6397	0.9637
2.6905	0.9822
2.7412	0.9848
2.7920	0.9820
2.8427	0.9870
2.8935	0.9795
2.9443	0.9870
2.9950	0.9810
3.0458	0.9870
3.0966	0.9664
3.1473	0.9547
3.1981	0.9840
3.2489	0.9590
3.2996	0.9600
3.3504	0.9724
3.4011	0.9445
3.4519	0.9660
3.5027	0.9934
3.5534	0.9922
3.6042	0.9842
3.6550	0.9592
3.7057	0.9492
3.7565	0.9840
3.8072	0.9840
3.8580	0.9950
3.9088	0.9840
3.9595	1.0011
4.0103	0.9930
4.0611	0.9937
4.1118	0.9946
4.1626	0.9950
4.2133	0.9961
4.2641	0.9930
4.3149	0.9930
4.3656	0.9808
4.4164	0.9980
4.4672	0.9970
4.5179	0.9884
4.5687	0.9900
4.6195	0.9900
4.6702	0.9980
4.7210	0.9980
4.7717	0.9993
4.8225	0.9840
4.8733	0.9760
4.9240	0.9870
4.9748	0.9900
5.0256	0.9840
5.0763	0.9900
5.1271	0.9870
5.1778	0.9820
5.2286	0.9810
5.2794	0.9880
5.3301	0.9810
5.3809	0.9870
5.4317	0.9900
5.4824	0.9930
5.5332	0.9996
5.5840	0.9894
5.6347	0.9980
5.6855	0.9900
5.7362	0.9984
5.7870	0.9850
5.8378	0.9949
5.8885	0.9900
5.9393	0.9842
5.9901	0.9790
6.0408	0.9790
6.0916	0.9876
6.1423	0.9806
6.1931	0.9680
6.2439	0.9831
6.2946	0.9796
6.3454	0.9595
6.3962	0.9459
6.4469	0.9341
6.4977	0.9241
6.5484	0.9197
6.5992	0.8922
6.6500	0.8615
6.7007	0.8520
6.7515	0.8245
6.8023	0.8109
6.8530	0.7537
6.9038	0.6610
6.9546	0.5672
7.0053	0.4283
7.0561	0.2913
7.1068	0.1903
7.1576	0.1195
7.2084	0.0805
7.2591	0.0549
7.3099	0.0390
7.3607	0.0291
7.4114	0.0220
7.4622	0.0180
7.5129	0.0155
7.5637	0.0128
7.6145	0.0111
7.6652	0.0103
7.7160	0.0095
7.7668	0.0097
7.8175	0.0094
7.8683	0.0082
7.9190	0.0075
7.9698	0.0069
8.0206	0.0062
8.0713	0.0062
8.1221	0.0062
8.1729	0.0062
8.2236	0.0064
8.2744	0.0063
8.3252	0.0064
8.3759	0.0063
8.4267	0.0058
8.4774	0.0054
8.5282	0.0057
8.5790	0.0064
8.6297	0.0061
8.6805	0.0059
8.7313	0.0063
8.7820	0.0070
8.8328	0.0078
8.8835	0.0078
8.9343	0.0077
8.9851	0.0089
9.0358	0.0104
9.0866	0.0105
9.1374	0.0105
9.1881	0.0102
9.2389	0.0100
9.2896	0.0102
9.3404	0.0095
9.3912	0.0092
9.4419	0.0088
9.4927	0.0081
9.5435	0.0087
9.5942	0.0089
9.6450	0.0085
9.6958	0.0081
9.7465	0.0084
9.7973	0.0092
9.8480	0.0091
9.8988	0.0088
9.9496	0.0084
10.0003	0.0089
10.0511	0.0098
10.1019	0.0100
10.1526	0.0101
10.2034	0.0102
10.2541	0.0103
10.3049	0.0102
10.3557	0.0104
10.4064	0.0099
10.4572	0.0092
10.5080	0.0093
10.5587	0.0101
10.6095	0.0113
10.6603	0.0119
10.7110	0.0127
10.7618	0.0134
10.8125	0.0132
10.8633	0.0135
10.9141	0.0139
10.9648	0.0141
11.0156	0.0153
20.0000	0.0200
100.0000	0.0300
1000.0000	0.1000
