icm	trans	
21.117451	0.97951
21.168214	0.98103
21.218977	0.98076
21.26974	0.98085
21.320503	0.97948
21.371266	0.97873
21.422029	0.97872
21.472792	0.9792
21.523555	0.98094
21.574318	0.98062
21.625081	0.98084
21.675844	0.97993
21.726607	0.97841
21.77737	0.97926
21.828133	0.98074
21.878896	0.98063
21.929659	0.98008
21.980422	0.98011
22.031185	0.98072
22.081948	0.98132
22.132711	0.98091
22.183474	0.9783
22.234237	0.97793
22.285	0.97926
22.335763	0.98098
22.386526	0.98107
22.437289	0.97942
22.488052	0.97844
22.538815	0.97732
22.589578	0.978
22.640341	0.97928
22.691104	0.97862
22.741867	0.97891
22.79263	0.97807
22.843393	0.97808
22.894156	0.97938
22.944919	0.97815
22.995682	0.97694
23.046445	0.97577
23.097208	0.97558
23.147971	0.97779
23.198734	0.97779
23.249497	0.97709
23.30026	0.97729
23.351023	0.97565
23.401786	0.97587
23.452549	0.97689
23.503312	0.97725
23.554075	0.97592
23.604838	0.9739
23.655601	0.97395
23.706364	0.97544
23.757127	0.97521
23.80789	0.97436
23.858653	0.9735
23.909416	0.97328
23.960179	0.97226
24.010942	0.97235
24.061705	0.97442
24.112468	0.97391
24.163231	0.97371
24.213994	0.97396
24.264757	0.97272
24.31552	0.97236
24.366283	0.97314
24.417046	0.97194
24.467809	0.97176
24.518572	0.97343
24.569335	0.97382
24.620098	0.97241
24.670861	0.97171
24.721624	0.97184
24.772387	0.97222
24.82315	0.97298
24.873913	0.97204
24.924676	0.9722
24.975439	0.97193
25.026202	0.97115
25.076965	0.97219
25.127728	0.97196
25.178491	0.97173
25.229254	0.9708
25.280017	0.96906
25.33078	0.96957
25.381543	0.97112
25.432306	0.97133
25.483069	0.97072
25.533832	0.96937
25.584595	0.96875
25.635358	0.97011
25.686121	0.97088
25.736884	0.97008
25.787647	0.96871
25.83841	0.9676
25.889173	0.96778
25.939936	0.96815
25.990699	0.9681
26.041462	0.96742
26.092225	0.96604
26.142988	0.96594
26.193751	0.96621
26.244514	0.96657
26.295277	0.96722
26.34604	0.96585
26.396803	0.96488
26.447566	0.96496
26.498329	0.96423
26.549092	0.96534
26.599855	0.96589
26.650618	0.96429
26.701381	0.96507
26.752144	0.96662
26.802907	0.96634
26.85367	0.96525
26.904433	0.96479
26.955196	0.96499
27.005959	0.96502
27.056722	0.96595
27.107485	0.96601
27.158248	0.96581
27.209011	0.96558
27.259774	0.96607
27.310537	0.96632
27.3613	0.96474
27.412063	0.96427
27.462826	0.96463
27.513589	0.96541
27.564352	0.96689
27.615115	0.96756
27.665878	0.96627
27.716641	0.96384
27.767404	0.96264
27.818167	0.96365
27.86893	0.96567
27.919693	0.96668
27.970456	0.96589
28.021219	0.96436
28.071982	0.96294
28.122745	0.96335
28.173508	0.96555
28.224271	0.96619
28.275034	0.96407
28.325797	0.9622
28.37656	0.96271
28.427323	0.96326
28.478086	0.963
28.528849	0.96334
28.579612	0.9632
28.630375	0.96216
28.681138	0.96136
28.731901	0.96161
28.782664	0.96208
28.833427	0.96233
28.88419	0.96303
28.934953	0.96268
28.985716	0.96231
29.036479	0.9624
29.087242	0.96143
29.138005	0.96172
29.188768	0.96271
29.239531	0.96254
29.290294	0.96242
29.341057	0.96166
29.39182	0.96067
29.442583	0.96112
29.493346	0.96225
29.544109	0.96281
29.594872	0.96099
29.645635	0.95924
29.696398	0.96044
29.747161	0.96204
29.797924	0.96241
29.848687	0.96327
29.89945	0.96264
29.950213	0.96005
30.000976	0.95941
30.051739	0.96114
30.102502	0.9629
30.153265	0.96276
30.204028	0.962
30.254791	0.96105
30.305554	0.96111
30.356317	0.9622
30.40708	0.96257
30.457843	0.96111
30.508606	0.95852
30.559369	0.95861
30.610132	0.96052
30.660895	0.96068
30.711658	0.95889
30.762421	0.95794
30.813184	0.95789
30.863947	0.95713
30.91471	0.95718
30.965473	0.95765
31.016236	0.95832
31.066999	0.95815
31.117762	0.95606
31.168525	0.956
31.219288	0.95762
31.270051	0.95776
31.320814	0.95695
31.371577	0.9551
31.42234	0.95443
31.473103	0.9562
31.523866	0.95559
31.574629	0.95354
31.625392	0.95242
31.676155	0.95159
31.726918	0.95398
31.777681	0.95769
31.828444	0.95544
31.879207	0.95189
31.92997	0.95243
31.980733	0.95449
32.031496	0.95498
32.082259	0.95344
32.133022	0.95357
32.183785	0.95492
32.234548	0.95419
32.285311	0.95216
32.336074	0.95381
32.386837	0.95472
32.4376	0.95299
32.488363	0.95221
32.539126	0.9527
32.589889	0.95447
32.640652	0.95549
32.691415	0.9546
32.742178	0.95337
32.792941	0.95261
32.843704	0.95409
32.894467	0.95676
32.94523	0.95563
32.995993	0.95486
33.046756	0.95488
33.097519	0.95374
33.148282	0.9532
33.199045	0.95298
33.249808	0.95219
33.300571	0.9513
33.351334	0.94971
33.402097	0.94991
33.45286	0.95198
33.503623	0.95206
33.554386	0.95072
33.605149	0.94987
33.655912	0.94816
33.706675	0.94764
33.757438	0.94981
33.808201	0.95035
33.858964	0.94906
33.909727	0.94763
33.96049	0.94616
34.011253	0.94804
34.062016	0.94989
34.112779	0.94729
34.163542	0.9467
34.214305	0.94643
34.265068	0.94715
34.315831	0.94817
34.366594	0.94766
34.417357	0.94665
34.46812	0.94444
34.518883	0.94315
34.569646	0.94182
34.620409	0.94448
34.671172	0.9479
34.721935	0.94478
34.772698	0.94337
34.823461	0.94312
34.874224	0.9435
34.924987	0.94414
34.97575	0.94385
35.026513	0.94525
35.030234	0.946029703
35.28225	0.945207921
35.534266	0.946
35.786282	0.945435644
36.038298	0.942851485
36.290314	0.940881188
36.54233	0.940940594
36.794346	0.942148515
37.046362	0.942851485
37.298378	0.942257426
37.550394	0.94209901
37.80241	0.942069307
38.054426	0.941613861
38.306442	0.941019802
38.558458	0.938960396
38.810474	0.937653465
39.06249	0.938128713
39.314506	0.937118812
39.566522	0.935792079
39.818538	0.935188119
40.070554	0.934514851
40.32257	0.933831683
40.574586	0.933524752
40.826602	0.932623762
41.078618	0.931841584
41.330634	0.932237624
41.58265	0.931049505
41.834666	0.928980198
42.086682	0.928
42.338698	0.926693069
42.590714	0.924980198
42.84273	0.923930693
43.094746	0.92329703
43.346762	0.922544554
43.598778	0.921881188
43.850794	0.920871287
44.10281	0.919891089
44.354826	0.918633663
44.606842	0.916712871
44.858858	0.915613861
45.110874	0.914584158
45.36289	0.913356436
45.614906	0.912930693
45.866922	0.912960396
46.118938	0.91250495
46.370954	0.911514851
46.62297	0.910663366
46.874986	0.909306931
47.127002	0.909019802
47.379018	0.909653465
47.631034	0.909782178
47.88305	0.909643564
48.135066	0.908811881
48.387082	0.907782178
48.639098	0.906881188
48.891114	0.90619802
49.14313	0.904851485
49.395146	0.903247525
49.647162	0.902168317
49.899178	0.901722772
50.151194	0.900732673
50.40321	0.899148515
50.655226	0.898257426
50.907242	0.897386139
51.159258	0.896168317
51.411274	0.894465347
51.66329	0.892861386
51.915306	0.891178218
52.167322	0.88939604
52.419338	0.888188119
52.671354	0.887405941
52.92337	0.886267327
53.175386	0.884386139
53.427402	0.882653465
53.679418	0.881881188
53.931434	0.881326733
54.18345	0.88060396
54.435466	0.880059406
54.687482	0.879356436
54.939498	0.877336634
55.191514	0.874277228
55.44353	0.871029703
55.695546	0.870188119
55.947562	0.872732673
56.199578	0.873207921
56.451594	0.87190099
56.70361	0.870306931
56.955626	0.868237624
57.207642	0.866
57.459658	0.867247525
57.711674	0.867861386
57.96369	0.866613861
58.215706	0.86549505
58.467722	0.864792079
58.719738	0.863891089
58.971754	0.863356436
59.22377	0.86270297
59.475786	0.861346535
59.727802	0.859752475
59.979818	0.857752475
60.231834	0.857277228
60.48385	0.857
60.735866	0.856128713
60.987882	0.855356436
61.239898	0.853980198
61.491914	0.852831683
61.74393	0.85129703
61.995946	0.848356436
62.247962	0.845772277
62.499978	0.845316832
62.751994	0.844762376
63.00401	0.843306931
63.256026	0.84190099
63.508042	0.840485149
63.760058	0.839237624
64.012074	0.83819802
64.26409	0.837455446
64.516106	0.836465347
64.768122	0.835188119
65.020138	0.834445545
65.272154	0.833742574
65.52417	0.833138614
65.776186	0.83290099
66.028202	0.832128713
66.280218	0.831207921
66.532234	0.830267327
66.78425	0.829089109
67.036266	0.827960396
67.288282	0.826722772
67.540298	0.825762376
67.792314	0.825118812
68.04433	0.82380198
68.296346	0.823861386
68.548362	0.824524752
68.800378	0.822831683
69.052394	0.820267327
69.30441	0.818574257
69.556426	0.81760396
69.808442	0.81649505
70.060458	0.814990099
70.312474	0.81360396
70.56449	0.812316832
70.816506	0.810752475
71.068522	0.809128713
71.320538	0.807356436
71.572554	0.805475248
71.82457	0.803059406
72.076586	0.800633663
72.328602	0.800306931
72.580618	0.799356436
72.832634	0.797089109
73.08465	0.794782178
73.336666	0.793287129
73.588682	0.792861386
73.840698	0.791792079
74.092714	0.790653465
74.34473	0.790594059
74.596746	0.790633663
74.848762	0.789237624
75.100778	0.787108911
75.352794	0.785405941
75.60481	0.78560396
75.856826	0.786366337
76.108842	0.785465347
76.360858	0.784188119
76.612874	0.783405941
76.86489	0.782217822
77.116906	0.780821782
77.368922	0.779594059
77.620938	0.777920792
77.872954	0.776693069
78.12497	0.776069307
78.376986	0.775257426
78.629002	0.774732673
78.881018	0.773683168
79.133034	0.77209901
79.38505	0.769841584
